iter	Passed	Remaining
302	740	1703
303	742	1701
304	744	1697
305	746	1694
306	749	1692
307	752	1691
308	754	1688
309	756	1684
310	758	1681
311	761	1678
312	763	1675
313	765	1671
314	767	1669
315	769	1665
316	771	1662
317	773	1658
318	775	1655
319	777	1652
320	779	1649
321	782	1647
322	784	1644
323	786	1640
324	788	1637
325	790	1634
326	792	1630
327	794	1627
328	797	1626
329	799	1622
330	801	1619
331	803	1616
332	805	1613
333	807	1610
334	809	1606
335	812	1604
336	814	1601
337	816	1599
338	818	1595
339	820	1592
340	822	1589
341	824	1586
342	827	1584
343	829	1581
344	831	1578
345	833	1575
346	835	1572
347	838	1570
348	840	1568
349	843	1566
350	846	1564
351	849	1562
352	851	1561
353	854	1558
354	857	1557
355	860	1557
356	863	1555
357	866	1554
358	869	1553
359	873	1552
360	876	1551
361	879	1550
362	882	1548
363	884	1545
364	889	1547
365	892	1545
366	894	1542
367	896	1539
368	899	1537
369	903	1538
370	906	1536
371	908	1533
372	911	1531
373	913	1529
374	916	1526
375	918	1524
376	921	1522
377	924	1520
378	926	1518
379	929	1515
380	932	1515
381	935	1512
382	937	1510
383	940	1508
384	942	1506
385	945	1503
386	949	1503
387	951	1500
388	954	1498
389	956	1496
390	958	1493
391	961	1490
392	964	1489
393	966	1486
394	968	1483
395	970	1480
396	972	1477
397	974	1473
398	976	1471
399	979	1468
400	981	1465
401	982	1462
402	984	1459
403	986	1455
404	988	1452
405	990	1449
406	994	1448
407	996	1445
408	998	1442
409	1000	1439
410	1002	1436
411	1004	1433
412	1007	1432
413	1010	1430
414	1013	1428
415	1016	1426
416	1018	1423
417	1020	1421
418	1024	1420
419	1026	1417
420	1029	1415
421	1031	1412
422	1034	1410
423	1036	1408
424	1040	1407
425	1042	1405
426	1045	1402
427	1047	1400
428	1050	1397
429	1053	1396
430	1055	1393
431	1059	1393
432	1061	1390
433	1063	1387
434	1065	1384
435	1068	1381
436	1071	1380
437	1073	1377
438	1075	1374
439	1077	1371
440	1079	1368
441	1081	1365
442	1084	1363
443	1086	1360
444	1088	1357
445	1090	1354
446	1092	1351
447	1094	1348
448	1096	1345
449	1099	1343
450	1101	1340
451	1103	1337
452	1105	1334
453	1107	1331
454	1109	1329
455	1111	1326
456	1114	1324
457	1116	1321
458	1118	1318
459	1120	1315
460	1122	1312
461	1124	1309
462	1126	1306
463	1129	1304
464	1131	1301
465	1133	1298
466	1135	1295
467	1137	1292
468	1139	1289
469	1141	1286
470	1143	1284
471	1145	1281
472	1147	1278
473	1149	1275
474	1151	1272
475	1153	1269
476	1155	1267
477	1157	1264
478	1159	1261
479	1161	1257
480	1163	1255
481	1165	1252
482	1166	1249
483	1169	1246
484	1171	1243
485	1185	1253
486	1188	1252
487	1191	1250
488	1193	1247
489	1196	1245
490	1199	1243
491	1201	1240
492	1204	1239
493	1207	1236
494	1209	1234
495	1212	1231
496	1215	1230
497	1217	1227
498	1221	1225
499	1223	1223
500	1226	1221
501	1228	1218
502	1231	1216
503	1234	1214
504	1236	1212
505	1239	1209
506	1242	1207
507	1245	1206
508	1247	1203
509	1251	1202
510	1253	1199
511	1254	1196
512	1257	1193
513	1259	1191
514	1261	1188
515	1263	1185
516	1266	1183
517	1268	1180
518	1271	1178
519	1273	1175
520	1275	1172
521	1277	1169
522	1279	1166
523	1281	1164
524	1283	1161
525	1285	1158
526	1287	1155
527	1289	1153
528	1291	1150
529	1293	1147
530	1296	1145
531	1298	1142
532	1301	1139
533	1303	1137
534	1305	1134
535	1307	1131
536	1309	1128
537	1311	1126
538	1313	1123
539	1314	1119
540	1316	1116
541	1318	1114
542	1320	1111
543	1322	1108
544	1325	1106
545	1327	1103
546	1329	1100
547	1331	1097
548	1333	1095
549	1335	1092
550	1337	1089
551	1339	1087
552	1341	1084
553	1343	1081
554	1345	1078
555	1347	1076
556	1349	1073
557	1351	1070
558	1353	1067
559	1356	1065
560	1358	1063
561	1361	1061
562	1364	1059
563	1366	1056
564	1370	1054
565	1372	1052
566	1374	1049
567	1377	1047
568	1380	1045
569	1382	1043
570	1386	1041
571	1389	1039
572	1391	1037
573	1394	1034
574	1397	1032
575	1400	1030
576	1403	1028
577	1405	1026
578	1408	1024
579	1409	1020
580	1413	1019
581	1417	1018
582	1420	1015
583	1424	1014
584	1426	1011
585	1428	1009
586	1430	1006
587	1433	1004
588	1435	1001
589	1437	998
590	1439	996
591	1440	992
592	1442	989
593	1444	987
594	1447	985
595	1449	982
596	1451	979
597	1453	977
598	1455	974
599	1457	971
600	1459	969
601	1462	966
602	1464	964
603	1466	961
604	1468	958
605	1470	956
606	1472	953
607	1474	950
608	1477	948
609	1479	945
610	1481	943
611	1483	940
612	1485	937
613	1487	935
614	1489	932
615	1491	930
616	1493	927
617	1495	924
618	1497	922
619	1499	919
620	1502	916
621	1504	914
622	1506	911
623	1508	909
624	1510	906
625	1512	903
626	1514	901
627	1516	898
628	1518	895
629	1520	893
630	1522	890
631	1524	887
632	1526	885
633	1529	882
634	1531	880
635	1534	878
636	1537	876
637	1540	874
638	1543	871
639	1545	869
640	1548	867
641	1550	864
642	1553	862
643	1555	859
644	1557	857
645	1560	855
646	1562	852
647	1565	850
648	1568	848
649	1570	845
650	1573	843
651	1576	841
652	1578	838
653	1581	836
654	1584	834
655	1586	832
656	1589	829
657	1591	827
658	1596	826
659	1599	824
660	1601	821
661	1603	818
662	1605	816
663	1607	813
664	1609	811
665	1613	809
666	1615	806
667	1617	804
668	1619	801
669	1621	798
670	1623	796
671	1626	793
672	1629	791
673	1631	789
674	1633	786
675	1635	783
676	1637	781
677	1639	778
678	1642	776
679	1644	774
680	1646	771
681	1649	768
682	1651	766
683	1653	763
684	1655	761
685	1658	758
686	1660	756
687	1662	753
688	1664	751
689	1666	748
690	1668	746
691	1670	743
692	1673	741
693	1675	738
694	1677	736
695	1679	733
696	1681	730
697	1683	728
698	1685	725
699	1688	723
700	1690	720
701	1692	718
702	1694	715
703	1696	713
704	1698	710
705	1701	708
706	1703	706
707	1706	703
708	1708	701
709	1709	698
710	1712	696
711	1714	693
712	1718	691
713	1721	689
714	1723	686
715	1725	684
716	1728	682
717	1731	680
718	1734	677
719	1736	675
720	1739	673
721	1741	670
722	1744	668
723	1747	666
724	1750	663
725	1752	661
726	1755	659
727	1758	656
728	1760	654
729	1763	652
730	1766	649
731	1769	647
732	1771	645
733	1774	642
734	1777	640
735	1779	638
736	1781	635
737	1783	633
738	1786	630
739	1788	628
740	1790	625
741	1792	623
742	1794	620
743	1796	618
744	1798	615
745	1800	613
746	1802	610
747	1804	608
748	1807	605
749	1809	603
750	1811	600
751	1813	598
752	1815	595
753	1817	593
754	1819	590
755	1822	588
756	1824	585
757	1826	583
758	1828	580
759	1830	578
760	1832	575
761	1834	573
762	1837	570
763	1839	568
764	1841	565
765	1843	563
766	1845	560
767	1847	558
768	1849	555
769	1852	553
770	1854	550
771	1856	548
772	1858	545
773	1860	543
774	1862	540
775	1865	538
776	1868	536
777	1871	533
778	1874	531
779	1876	529
780	1879	526
781	1882	524
782	1885	522
783	1887	519
784	1889	517
785	1892	515
786	1894	512
787	1898	510
788	1901	508
789	1903	505
790	1905	503
791	1908	501
792	1911	498
793	1913	496
794	1916	494
795	1918	491
796	1921	489
797	1923	487
798	1926	484
799	1929	482
800	1931	479
801	1934	477
802	1937	475
803	1939	472
804	1942	470
805	1976	475
806	1980	473
807	1983	471
808	1987	469
809	1990	466
810	1992	464
811	1995	462
812	1998	459
813	2000	457
814	2003	454
815	2006	452
816	2009	450
817	2011	447
818	2013	444
819	2015	442
820	2017	439
821	2019	437
822	2022	434
823	2024	432
824	2027	430
825	2030	427
826	2032	425
827	2034	422
828	2037	420
829	2040	417
830	2043	415
831	2045	413
832	2048	410
833	2051	408
834	2054	405
835	2056	403
836	2059	400
837	2061	398
838	2063	396
839	2067	393
840	2069	391
841	2072	388
842	2075	386
843	2078	384
844	2080	381
845	2084	379
846	2086	376
847	2089	374
848	2090	371
849	2093	369
850	2095	366
851	2098	364
852	2101	362
853	2104	359
854	2107	357
855	2110	355
856	2113	352
857	2115	350
858	2117	347
859	2119	345
860	2121	342
861	2124	340
862	2126	337
863	2129	335
864	2131	332
865	2133	330
866	2135	327
867	2137	325
868	2139	322
869	2141	320
870	2144	317
871	2146	315
872	2148	312
873	2150	310
874	2152	307
875	2154	304
876	2156	302
877	2159	300
878	2161	297
879	2163	295
880	2165	292
881	2167	289
882	2169	287
883	2171	284
884	2174	282
885	2176	280
886	2178	277
887	2180	275
888	2182	272
889	2184	270
890	2187	267
891	2191	265
892	2193	262
893	2196	260
894	2201	258
895	2204	255
896	2207	253
897	2210	251
898	2214	248
899	2219	246
900	2222	244
901	2224	241
902	2227	239
903	2230	236
904	2232	234
905	2235	231
906	2238	229
907	2241	227
908	2243	224
909	2246	222
910	2248	219
911	2251	217
912	2255	214
913	2258	212
914	2262	210
915	2266	207
916	2269	205
917	2271	202
918	2274	200
919	2276	197
920	2278	195
921	2282	193
922	2284	190
923	2287	188
924	2289	185
925	2292	183
926	2295	180
927	2298	178
928	2301	175
929	2303	173
930	2306	170
931	2308	168
932	2312	166
933	2315	163
934	2317	161
935	2320	158
936	2323	156
937	2326	153
938	2328	151
939	2331	148
940	2333	146
941	2336	143
942	2339	141
943	2342	138
944	2344	136
945	2346	133
946	2348	131
947	2350	128
948	2352	126
949	2354	123
950	2358	121
951	2360	119
952	2362	116
953	2364	114
954	2366	111
955	2369	109
956	2373	106
957	2375	104
958	2378	101
959	2380	99
960	2383	96
961	2386	94
962	2389	91
963	2391	89
964	2393	86
965	2396	84
966	2398	81
967	2402	79
968	2404	76
969	2407	74
970	2409	71
971	2412	69
972	2415	67
973	2418	64
974	2421	62
975	2423	59
976	2426	57
977	2428	54
978	2431	52
979	2434	49
980	2436	47
981	2439	44
982	2442	42
983	2445	39
984	2448	37
985	2451	34
986	2454	32
987	2456	29
988	2459	27
989	2461	24
990	2465	22
991	2467	19
992	2470	17
993	2472	14
994	2474	12
995	2476	9
996	2479	7
997	2481	4
998	2484	2
999	2486	0
